TBI Pseudostats,AGE,FEMALE,RACE,EDUCATION,LOC_REPORTED,LOC_DUR,N_TBI,TRAILS_A,TRAILS_B,EPILEPSY,PCLM_SCORE
Freq/mean:,40,0.2,4,15,0.5,30,3,30,60,0.2,40
std:,10,0,1,2,0,60,2,15,30,0,20
AGE,1,0,0,10,-1,150,-5,40,150,10,10
FEMALE,0,1,1,0,0,-5,0,-1,-1,0,-1
RACE,0,1,1,1,0,-5,0,-1,-1,0,1
EDUCATION,10,0,1,1,-1,1,-1,-1,-1,-1,-5
LOC_REPORTED,-1,0,0,-1,10,50,1,0,1,100,1
LOC_DURATION,150,-5,-5,1,50,3500,-5,50,250,100,1
N_TBI,-5,0,0,-1,1,-5,1000,1,1,10,25
TRAILS_A,40,-1,-1,-1,0,50,1,150,250,10,100
TRAILS_B,150,-1,-1,-1,1,250,1,250,1000,10,150
EPILEPSY,10,0,0,-1,100,100,10,10,10,1000,50
PCLM_SCORE,10,-1,1,-5,1,1,25,100,150,50,350
